#,Name,Address,City,State/Region,Postal Code,Country,Phone,Latitude,Longitude,Store ID
1,Taco Bell Albion Park,"Shop 3, 61 Princes Highway, ALBION PARK NSW 2527",Wollongong,New South Wales,2527,AU,+61 2 4257 3673,-34.55295510872227,150.7901661031089,au-https-tacobell-com-au-albion-park
13,Taco Bell Dandenong South,"1 Assembly Drive, Dandenong South, VIC 3175",Melbourne,Victoria,3175,AU,+61 3 8902 7610,-38.0038121348229,145.24810344963396,au-https-tacobell-com-au-dandenong-south
14,Taco Bell East Ipswich,"70 Brisbane Road, East Ipswich QLD 4305",Brisbane,Queensland,4305,AU,+61 7 3813 4005,-27.612622039421638,152.78108579187318,au-https-tacobell-com-au-east-ipswich
15,Taco Bell Ellenbrook North,"Lot 2 The Promenade, Ellenbrook, WA 6069",,Western Australia,6069,AU,+61 8 6207 3425,-31.78093475534595,115.97243278273348,au-https-tacobell-com-au-ellenbrook-north
16,Taco Bell Emerald Hills,"5 Raby Road, Leppington NSW 2179",Sydney,New South Wales,2179,AU,+61 2 7205 6040,-33.99514341771991,150.7897898981267,au-https-tacobell-com-au-emerald-hills
17,Taco Bell Greensquare,"103/305 Botany Road, ZETLAND NSW 2017",Sydney,New South Wales,2017,AU,+61 2 7204 0650,-33.90608692398403,151.20332036867794,au-https-tacobell-com-au-greensquare
18,Taco Bell Hawthorn,"650-652 Glenferrie Road, Hawthorn VIC 3122",Melbourne,Victoria,3122,AU,+61 3 9825 8210,-37.82183623104481,145.03600706327907,au-https-tacobell-com-au-hawthorn
19,Taco Bell Haymarket,"815 George Street, HAYMARKET NSW 2000",Sydney,New South Wales,2000,AU,+61 2 7204 7730,-33.882786,151.203416,au-https-tacobell-com-au-haymarket
20,Taco Bell Hoppers Crossing,"88 Derrimut Road, Hoppers Crossing VIC 3029",Melbourne,Victoria,3029,AU,+61 3 9825 8220,-37.881102685502235,144.68261198288425,au-https-tacobell-com-au-hoppers-crossing
21,Taco Bell Jesmond,"Shop 60, Stockland Jesmond Shopping Centre. 28 Blue Gum Road, JESMOND NSW 2299",Newcastle,New South Wales,2299,AU,+61 2 4950 1035,-32.90272492509487,151.690343298633,au-https-tacobell-com-au-jesmond
22,Taco Bell Logan Central,"26 Wembley Road, Logan Central QLD 4114",Logan City,Queensland,4114,AU,+61 7 2899 6605,-27.642466289780682,153.1156421729609,au-https-tacobell-com-au-logan-central
23,Taco Bell Midland,"226 Great Eastern Highway, Midland WA 6056",Perth,Western Australia,6056,AU,+61 8 6207 3415,-31.8915,116.01452,au-https-tacobell-com-au-midland
24,Taco Bell Morayfield,"182-190 Morayfield Road, Morayfield QLD 4506",Brisbane,Queensland,4506,AU,+61 7 5294 9715,-27.104934012769085,152.94696980795132,au-https-tacobell-com-au-morayfield
25,Taco Bell North Lakes,"Cnr 144 Flinders Parade & Diamond Jubilee Way, North Lakes QLD 4509",North Lakes,Queensland,4509,AU,+61 7 3351 9505,-27.21475781066594,152.99936282792513,au-https-tacobell-com-au-north-lakes
26,Taco Bell Roxburgh Park,"260 Somerton Rd, Roxburgh Park VIC 3064",Melbourne,Victoria,3064,AU,+61 3 7303 2305,-37.6407311,144.9297489,au-https-tacobell-com-au-roxburghpark
27,Taco Bell South Yarra,"352 Chapel Street, South Yarra VIC 3141",Melbourne,Victoria,3141,AU,+61 3 9825 8205,-37.846585619288376,144.9943679977639,au-https-tacobell-com-au-south-yarra
28,Taco Bell Westpoint Blacktown,"Level 3, Westpoint Shopping Centre, 17 Patrick Street, BLACKTOWN NSW 2148",Sydney,New South Wales,2148,AU,+61 2 9621 1263,-33.76973202420942,150.90657502866182,au-https-tacobell-com-au-blacktown
29,Taco Bell,km 225 Rodovia Presidente Dutra,Guarulhos,São Paulo,07034-911,BR,,-23.4881727,-46.5490641,br-6858489114
30,Taco Bell,91 Rua Domingos Agostim,São Paulo,São Paulo,03314-030,BR,,-23.5413986,-46.5765582,br-9717868719
31,Taco Bell,Avenida José de Souza Campos,Campinas,São Paulo,13092-123,BR,,-22.8968265,-47.0468716,br-11592591879
32,Taco Bell,1089 Avenida Roque Petroni Júnior,São Paulo,São Paulo,04707-900,BR,,-23.6229673,-46.6983642,br-11979572409
33,Taco Bell,Avenida Industrial,Santo André,São Paulo,09090-770,BR,,-23.6495424,-46.531448,br-13641503908
34,Taco Bell,"3º Piso Rua 15 de Novembro, 8",Niterói,,24020125,BR,,-22.89712,-43.1239333,br-10057477116
35,Taco Bell,400 Praia de Botafogo,Rio de Janeiro,,,BR,,-22.9473509,-43.1827806,br-13533263517
36,Taco Bell,751 3rd Street SW,Calgary,AB,T2P 4K8,CA,+1 403-263-0346,51.046119647878356,-114.07091994785142,ca-https-locations-tacobell-ca-en-ab-calgary-751-3r
37,Taco Bell,12222 Symons Valley Road NW,Calgary,AB,T3P 0A3,CA,+1 403-516-1582,51.16309618793664,-114.12674444288372,ca-https-locations-tacobell-ca-en-ab-calgary-12222-
38,Taco Bell,3310 32nd Street NE,Calgary,AB,T1Y 6B9,CA,+1 403-250-1842,51.081914784989536,-113.9882779726193,ca-https-locations-tacobell-ca-en-ab-calgary-3310-3
39,Taco Bell,1595 32 Ave NE,Calgary,AB,T2E 8P5,CA,+1 403-230-0061,51.08113942575412,-114.0242446239252,ca-https-locations-tacobell-ca-en-ab-calgary-1595-3
40,Taco Bell,6603 51st. Street,Cold Lake,AB,T9M 1C8,CA,+1 780-639-3270,54.432504900345116,-110.2061291515379,ca-https-locations-tacobell-ca-en-ab-cold-lake-6603
41,Taco Bell,14311 23rd Avenue,Edmonton,AB,T6R 3E7,CA,+1 780-988-8000,53.453705237588174,-113.56841117385291,ca-https-locations-tacobell-ca-en-ab-edmonton-14311
42,Taco Bell,9260 Ellerslie Road SW,Edmonton,AB,T6X 0K6,CA,+1 780-485-1474,53.42545873653651,-113.4766123376754,ca-https-locations-tacobell-ca-en-ab-edmonton-9260-
43,Taco Bell,9626 160th Avenue East NW,Edmonton,AB,T5P 3C6,CA,+1 780-423-2714,53.62180962390483,-113.49098513067959,ca-https-locations-tacobell-ca-en-ab-edmonton-9626-
44,Taco Bell,8036 118th Avenue,Edmonton,AB,T5B 0R8,CA,+1 780-944-1301,53.570694028270495,-113.46515597262953,ca-https-locations-tacobell-ca-en-ab-edmonton-8036-
45,Taco Bell,4950 101st Avenue,Edmonton,AB,T6A 3Y1,CA,+1 780-448-3866,53.54161918192088,-113.41749821288013,ca-https-locations-tacobell-ca-en-ab-edmonton-4950-
46,Taco Bell,8730 156 Street,Edmonton,AB,T5R 1Y5,CA,+1 780-448-3850,53.521033814991256,-113.59093801925657,ca-https-locations-tacobell-ca-en-ab-edmonton-8730-
47,Taco Bell,3349 118th Avenue NW,Edmonton,AB,T5W 4X1,CA,+1 780-448-2621,53.56986494361775,-113.3933209504463,ca-https-locations-tacobell-ca-en-ab-edmonton-3349-
48,Taco Bell,"3431 Gateway Blvd, Building 6",Edmonton,AB,T6J 5V5,CA,+1 587-490-4892,53.471137,-113.4921172,ca-https-locations-tacobell-ca-en-ab-edmonton-3431-
49,Taco Bell,347 Powder Drive,Fort McMurray,AB,T9K 0M3,CA,+1 780-792-0013,56.75733188419882,-111.45610084467424,ca-https-locations-tacobell-ca-en-ab-fort-mcmurray-
50,Taco Bell,10090 88th Avenue,Fort Saskatchewan,AB,T8L 2T2,CA,+1 780-998-4411,53.7006132851195,-113.20495122047994,ca-https-locations-tacobell-ca-en-ab-fort-saskatche
51,Taco Bell,11509 Westgate Dr.,Grand Prairie,AB,T8V 3B1,CA,+1 780-402-3381,55.17126914935306,-118.84198418956662,ca-https-locations-tacobell-ca-en-ab-grand-prairie-
52,Taco Bell,10003 101 Avenue,Lac La Biche,AB,T0A 2C0,CA,+1 780-623-7177,54.77144389690221,-111.97256095383692,ca-https-locations-tacobell-ca-en-ab-lac-la-biche-1
53,Taco Bell,5706 50th Street,Leduc,AB,T9E 6J4,CA,+1 780-986-2502,53.272163754573185,-113.55182477607582,ca-https-locations-tacobell-ca-en-ab-leduc-5706-50t
54,Taco Bell,188 Columbia Blvd. West,Lethbridge,AB,T1K 4J4,CA,+1 403-381-0244,49.67534631741639,-112.87564000046396,ca-https-locations-tacobell-ca-en-ab-lethbridge-188
55,Taco Bell,1071 Ross Glen Drive Southeast,Medicine Hat,AB,T1B 3T8,CA,+1 403-529-6703,50.002566216905855,-110.6428384202551,ca-https-locations-tacobell-ca-en-ab-medicine-hat-1
56,Taco Bell,200 Southridge Drive,Okotoks,AB,T1S 0B2,CA,+1 403-938-1498,50.70752875254768,-113.97567948724729,ca-https-locations-tacobell-ca-en-ab-okotoks-200-so
57,Taco Bell,6889 50th Avenue,Red Deer,AB,T4N 4E2,CA,+1 403-340-2700,52.295497479835056,-113.81299499842451,ca-https-locations-tacobell-ca-en-ab-red-deer-6889-
58,Taco Bell,261055 Crossiron Blvd,Rocky View,AB,T4A 0G3,CA,+1 403-274-5137,51.2028342,-113.9905198,ca-https-locations-tacobell-ca-en-ab-rocky-view-261
59,Taco Bell,550 Baseline Road,Sherwood Park,AB,T8H 2G8,CA,+1 780-416-8145,53.5416383253628,-113.26872925349241,ca-https-locations-tacobell-ca-en-ab-sherwood-park-
60,Taco Bell,170 Hwy. 16A,Spruce Grove,AB,T7X 3X3,CA,+1 780-962-4822,53.541872266184185,-113.92732301925658,ca-https-locations-tacobell-ca-en-ab-spruce-grove-1
61,Taco Bell,371 St. Albert Trail,St. Albert,AB,T8N 0R1,CA,+1 780-458-7713,53.639405148338405,-113.6241848180332,ca-https-locations-tacobell-ca-en-ab-st-albert-371-
62,Taco Bell,2991 Lougheed Highway,Coquitlam,BC,V3B 6J6,CA,+1 604-464-2025,49.277967,-122.7951493,ca-https-locations-tacobell-ca-en-bc-coquitlam-2991
63,Taco Bell,8737 120 Street,Delta,BC,V4C 6R4,CA,+1 778-578-5062,49.16148617164972,-122.89100064723873,ca-https-locations-tacobell-ca-en-bc-delta-8737-120
64,Taco Bell,555 Notre Dame Drive,Kamloops,BC,V2C 1E6,CA,+1 250-374-6534,50.66315703320569,-120.3519424258304,ca-https-locations-tacobell-ca-en-bc-kamloops-555-n
65,Taco Bell,2271 Harvey Avenue,Kelowna,BC,V1Y 6H2,CA,+1 250-860-3338,49.8781287,-119.4402145,ca-https-locations-tacobell-ca-en-bc-kelowna-2271-h
66,Taco Bell,19971 64th Avenue,Langley,BC,V2Y 1H1,CA,+1 604-530-2032,49.11950071544344,-122.66900458489796,ca-https-locations-tacobell-ca-en-bc-langley-19971-
67,Taco Bell,6896 Island Highway North,Nanaimo,BC,V9V 1P6,CA,+1 250-390-1565,49.239593392167215,-124.05109156158446,ca-https-locations-tacobell-ca-en-bc-nanaimo-6896-i
68,Taco Bell,3055 Massey Drive,Prince George,BC,V2N 2S9,CA,+1 250-564-8226,53.89738905005553,-122.77725292138823,ca-https-locations-tacobell-ca-en-bc-prince-george-
69,Taco Bell,45367 Luckakuck Way,Sardis,BC,V2R 3C7,CA,+1 604-858-3799,49.1428878859766,-121.96932519716643,ca-https-locations-tacobell-ca-en-bc-sardis-45367-l
70,Taco Bell,13577 73rd Avenue,Surrey,BC,V3W 2R5,CA,+1 604-596-7999,49.13528088005351,-122.84614667815207,ca-https-locations-tacobell-ca-en-bc-surrey-13577-7
71,Taco Bell,9056 152nd Street,Surrey,BC,V3R 4E7,CA,+1 604-583-7775,49.16738380688245,-122.80081948094471,ca-https-locations-tacobell-ca-en-bc-surrey-9056-15
72,Taco Bell,17740 56 Avenue,Surrey,BC,V3S 1C7,CA,+1 604-576-7450,49.10386164974239,-122.73056056157422,ca-https-locations-tacobell-ca-en-bc-surrey-17740-5
73,Taco Bell,964 Granville St.,Vancouver,BC,V6X 1L2,CA,+1 778-357-3408,49.279421204694536,-123.12224974846211,ca-https-locations-tacobell-ca-en-bc-vancouver-964-
74,Taco Bell,4510 – 27th Street,Vernon,BC,V1T 4Y6,CA,+1 778-506-2767,50.278707487110985,-119.26884953153069,ca-https-locations-tacobell-ca-en-bc-vernon-4510-27
75,Taco Bell,2079 Pembi Highway,Winnipeg,MB,R3C 3V6,CA,+1 204-987-8312,49.814615355343314,-97.15246093707526,ca-https-locations-tacobell-ca-en-mb-winnipeg-2079-
76,Taco Bell,679 Henderson Highway,Winnipeg,MB,R2K 2J7,CA,+1 204-987-8206,49.92498037449375,-97.10606590723035,ca-https-locations-tacobell-ca-en-mb-winnipeg-679-h
77,Taco Bell,3651 Portage Avenue,Winnipeg,MB,R3K 2G6,CA,+1 204-987-8229,49.882453173352985,-97.31297415153789,ca-https-locations-tacobell-ca-en-mb-winnipeg-3651-
78,Taco Bell,750 Sherbrook Street,Winnipeg,MB,R3B 2X4,CA,+1 204-987-8201,49.900918289116326,-97.15857615913771,ca-https-locations-tacobell-ca-en-mb-winnipeg-750-s
79,Taco Bell,1651 Regent Avenue,Winnipeg,MB,R2C 4H9,CA,+1 204-987-8207,49.89917061525131,-97.07150480537791,ca-https-locations-tacobell-ca-en-mb-winnipeg-1651-
80,Taco Bell,1275 Portage Avenue,Winnipeg,MB,R3G 0T8,CA,+1 204-987-8004,49.883343425947,-97.18659807792658,ca-https-locations-tacobell-ca-en-mb-winnipeg-1275-
81,Taco Bell,1125 Main Street,Winnipeg,MB,R2W 3S4,CA,+1 204-987-8204,49.91732669169707,-97.12996353421397,ca-https-locations-tacobell-ca-en-mb-winnipeg-1125-
82,Taco Bell,1030 Keewatin Street,Winnipeg,MB,R2R 2E2,CA,+1 204-987-8314,49.944380260667515,-97.19599623614835,ca-https-locations-tacobell-ca-en-mb-winnipeg-1030-
83,Taco Bell,1100 St. Mary's Road,Winnipeg,MB,R2M 3T4,CA,+1 204-987-8209,49.83490449062362,-97.11400981397622,ca-https-locations-tacobell-ca-en-mb-winnipeg-1100-
84,Taco Bell,16 Lakewood Blvd.,Winnipeg,MB,R2J 2M6,CA,+1 204-987-8309,49.85546667457202,-97.07913335630413,ca-https-locations-tacobell-ca-en-mb-winnipeg-16-la
85,Taco Bell,451 Paul Street,Dieppe,NB,E1A 6W8,CA,+1 506-858-8877,46.09462349086751,-64.7565726685288,ca-https-locations-tacobell-ca-en-nb-dieppe-451-pau
86,Taco Bell,1381 Regent St,Fredericton,NB,E3C 1A2,CA,+1 506-458-8226,45.9356657,-66.6654214,ca-https-locations-tacobell-ca-en-nb-fredericton-13
87,Taco Bell,545 Westmorland Place,Saint John,NB,E2J 3T3,CA,+1 506-633-4811,45.31140699309914,-66.01422879470944,ca-https-locations-tacobell-ca-en-nb-saint-john-545
88,Taco Bell,"944 Fairville Blvd, Unit 2",Saint John,NB,E2B5T5,CA,+1 506-657-7788,45.24903330048502,-66.10391760934179,ca-https-locations-tacobell-ca-en-nb-saint-john-944
89,Taco Bell,47 Commonwealth Avenue,Mount Pearl,NL,A1N 1W7,CA,+1 709-984-0147,47.51694265227995,-52.806094149774296,ca-https-locations-tacobell-ca-en-nl-mount-pearl-47
90,Taco Bell,34 Ropewalk Lane,St. John's,NL,A1E 1V1,CA,+1 709-207-2400,47.55593902344989,-52.735853709049486,ca-https-locations-tacobell-ca-en-nl-st-johns-34-ro
91,Taco Bell,21 Mic Mac Blvd.,Dartmouth,NS,B3A 4N3,CA,+1 902-463-1300,44.6860981,-63.5597947,ca-https-locations-tacobell-ca-en-ns-dartmouth-21-m
92,Taco Bell,7001 Mumford Road,Halifax,NS,B3L 4N9,CA,+1 902-455-1824,44.64932365934112,-63.618155971343555,ca-https-locations-tacobell-ca-en-ns-halifax-7001-m
93,Taco Bell,87 West Main Street,Stewiacke,NS,B0N 2J0,CA,+1 902-639-2244,45.14000783278669,-63.36196788513742,ca-https-locations-tacobell-ca-en-ns-stewiacke-87-w
94,Taco Bell,29 Keltic Drive,Sydney River,NS,B1S 1P4,CA,+1 902-564-6646,46.10857573014643,-60.22422658222573,ca-https-locations-tacobell-ca-en-ns-sydney-river-2
95,Taco Bell,242 Robie Street,Truro,NS,B2N 1L1,CA,+1 902-895-2101,45.36904868919956,-63.301544534193525,ca-https-locations-tacobell-ca-en-ns-truro-242-robi
96,Taco Bell,536 Main Street,Yarmouth,NS,B5A 4B6,CA,+1 902-742-4581,43.845957180412654,-66.11675365889549,ca-https-locations-tacobell-ca-en-ns-yarmouth-536-m
97,Taco Bell,422 Bayly Street West,Ajax,ON,L1S 1P1,CA,+1 905-686-3125,43.84086669384832,-79.03426794184797,ca-https-locations-tacobell-ca-en-on-ajax-422-bayly
98,Taco Bell,527 Sandwich Street South,Amherstburg,ON,N9V 3G5,CA,+1 519-713-9449,42.09258840740196,-83.106459,ca-https-locations-tacobell-ca-en-on-amherstburg-52
99,Taco Bell,644 Yonge Street,Barrie,ON,L4N 4E6,CA,+1 705-719-7467,44.35541466850733,-79.64474739410207,ca-https-locations-tacobell-ca-en-on-barrie-644-yon
100,Taco Bell,315 Bayfield Street North,Barrie,ON,L4M 3C2,CA,+1 705-726-7220,44.40145088723697,-79.69985727615007,ca-https-locations-tacobell-ca-en-on-barrie-315-bay
101,Taco Bell,336 Front Street North,Belleville,ON,K8N 5J4,CA,+1 343-710-0049,44.186109254322915,-77.39579814655664,ca-https-locations-tacobell-ca-en-on-belleville-336
102,Taco Bell,390 North Front Street,Belleville,ON,K8P 3C9,CA,+1 613-966-1642,44.1891995,-77.4016952,ca-https-locations-tacobell-ca-en-on-belleville-390
103,Taco Bell,3058 Mayfield Road,Brampton,ON,L6Z 0E3,CA,+1 905-846-3935,43.734807017915045,-79.82435333704755,ca-https-locations-tacobell-ca-en-on-brampton-3058-
104,Taco Bell,45 Cherrycrest Drive,Brampton,ON,L6P 0S2,CA,+1 905-794-8105,43.76397597821852,-79.66882729042051,ca-https-locations-tacobell-ca-en-on-brampton-45-ch
105,Taco Bell,9465 Mississauga Road,Brampton,ON,L6X 0Z8,CA,+1 905-453-8118,43.65629183759351,-79.81466884180487,ca-https-locations-tacobell-ca-en-on-brampton-9465-
106,Taco Bell,499 Main Street South,Brampton,ON,L6Y 1N7,CA,+1 905-796-6790,43.666139398794556,-79.73787561301832,ca-https-locations-tacobell-ca-en-on-brampton-499-m
107,Taco Bell,10068 McLaughlin Road,Brampton,ON,L7A 2X6,CA,+1 905-495-2367,43.696724743412474,-79.79945464919385,ca-https-locations-tacobell-ca-en-on-brampton-10068
108,Taco Bell,9940 Airport Road,Brampton,ON,L6S 0C5,CA,+1 905-799-2736,43.76104748414604,-79.72001076280782,ca-https-locations-tacobell-ca-en-on-brampton-9940-
109,Taco Bell,25 Peel Centre Dr,Brampton,ON,L6T3R5,CA,+1 905-458-5900,43.71535860699697,-79.72227279065827,ca-https-locations-tacobell-ca-en-on-brampton-25-pe
110,Taco Bell,1 Hartley Ave,Brant,ON,N3L 3E2,CA,+1 519-442-2968,43.217,-80.392,ca-https-locations-tacobell-ca-en-on-brant-1-hartle
111,Taco Bell,11 Sinclair Boulevard,Brantford,ON,N3S 7X6,CA,+1 519-770-1436,43.1693721,-80.2152786,ca-https-locations-tacobell-ca-en-on-brantford-11-s
112,Taco Bell,656 Colborne Street,Brantford,ON,N3S 3P8,CA,+1 519-750-1852,43.141420652569934,-80.23849976279757,ca-https-locations-tacobell-ca-en-on-brantford-656-
113,Taco Bell,68 King George Road,Brantford,ON,N3R 5K4,CA,+1 519-752-2686,43.164644208098814,-80.27407730512547,ca-https-locations-tacobell-ca-en-on-brantford-68-k
114,Taco Bell,84 Lynden Road,Brantford,ON,N3R 6B8,CA,+1 519-752-4777,43.1715199638716,-80.23992033799209,ca-https-locations-tacobell-ca-en-on-brantford-84-l
115,Taco Bell,900 Maple Avenue,Burlington,ON,L7S 2J8,CA,+1 905-634-1441,43.3258269,-79.8208432,ca-https-locations-tacobell-ca-en-on-burlington-900
116,Taco Bell,777 Guelph Line,Burlington,ON,L7R 3N2,CA,+1 905-631-0437,43.3489223,-79.7951251,ca-https-locations-tacobell-ca-en-on-burlington-777
117,Taco Bell,355 Hespeler Road,Cambridge,ON,N1R 6B3,CA,+1 250-627-4992,43.3938003,-80.3201725,ca-https-locations-tacobell-ca-en-on-cambridge-355-
118,Taco Bell,328 St Clair Street,Chatham,ON,N7L3K1,CA,+1 519-351-7485,42.41307798271867,-82.19803907321847,ca-https-locations-tacobell-ca-en-on-chatham-328-st
119,Taco Bell,418 Ninth St W,Cornwall,ON,K6J 4J7,CA,+1 613-361-3267,45.025296405661656,-74.74499466821504,ca-https-locations-tacobell-ca-en-on-cornwall-418-n
120,Taco Bell,1610 The Queensway,Etobicoke,ON,M8Z 1V1,CA,+1 416-255-1917,43.617351844688066,-79.54410826709677,ca-https-locations-tacobell-ca-en-on-etobicoke-1610
121,Taco Bell,1727 Albion Road,Etobicoke,ON,M9V 1C1,CA,+1 416-743-7486,43.743077560175905,-79.60292792207281,ca-https-locations-tacobell-ca-en-on-etobicoke-1727
122,Taco Bell,644 Garrison Road,Fort Erie,ON,L2A 1N4,CA,+1 365-607-5945,42.905746,-78.938285,ca-https-locations-tacobell-ca-en-on-fort-erie-644-
123,Taco Bell,4027 Innes Road,Gloucester,ON,K1C 1T1,CA,+1 613-830-9586,45.45582296481919,-75.50544688797375,ca-https-locations-tacobell-ca-en-on-gloucester-402
124,Taco Bell,424 South Service Road,Grimsby,ON,L3M 4G3,CA,+1 905-309-3963,43.20636869151592,-79.59817912240338,ca-https-locations-tacobell-ca-en-on-grimsby-424-so
125,Taco Bell,20 Woodlawn,Guelph,ON,N1H 1G7,CA,+1 519-780-2999,43.5668371,-80.2759151,ca-https-locations-tacobell-ca-en-on-guelph-20-wood
126,Taco Bell,455 Woodlawn Rd W,Guelph,ON,N1K 1A6,CA,+1 519-780-2499,43.5446839233417,-80.30813391354172,ca-https-locations-tacobell-ca-en-on-guelph-455-woo
127,Taco Bell,435 Stone Road West,Guelph,ON,N1G 2X6,CA,+1 519-780-4262,43.51842291808014,-80.23824312722587,ca-https-locations-tacobell-ca-en-on-guelph-435-sto
128,Taco Bell,677 Upper James St,Hamilton,ON,L9C 5R9,CA,+1 905-383-8877,43.23444615457717,-79.87890181595246,ca-https-locations-tacobell-ca-en-on-hamilton-677-u
129,Taco Bell,744 Queenston Rd N,Hamilton,ON,L8G1A4,CA,+1 905-573-0733,43.228741645047855,-79.76938592600247,ca-https-locations-tacobell-ca-en-on-hamilton-744-q
130,Taco Bell,1550 Upper James St,Hamilton,ON,L9B1K3,CA,+1 905-387-6006,43.20331460674649,-79.89453284697287,ca-https-locations-tacobell-ca-en-on-hamilton-1550-
131,Taco Bell,2 King Street West,Hamilton,ON,L9H 6Z1,CA,+1 905-308-7542,43.26583963514284,-79.95421199995909,ca-https-locations-tacobell-ca-en-on-hamilton-2-kin
132,Taco Bell,999 Upper Wentworth,Hamilton,ON,L9A 4X5,CA,+1 905-318-6565,43.217312,-79.8602836,ca-https-locations-tacobell-ca-en-on-hamilton-999-u
133,Taco Bell,1195 Barton Street East,Hamilton,ON,L8H 2V7,CA,+1 289-674-8414,43.25082547945736,-79.81084493323834,ca-https-locations-tacobell-ca-en-on-hamilton-1195-
134,Taco Bell,2154 Rymal Road East,Hannon,ON,L0R 1P0,CA,+1 905-692-2224,43.174595262551094,-79.78854559029381,ca-https-locations-tacobell-ca-en-on-hannon-2154-ry
135,Taco Bell,500 Spence Avenue,Hawkesbury,ON,K6A 2Y3,CA,+1 343-500-0172,45.5978425575633,-74.60974352405863,ca-https-locations-tacobell-ca-en-on-hawkesbury-500
136,Taco Bell,15 Hanes Road,Huntsville,ON,P1H 1L8,CA,+1 705-789-8718,45.3389614729433,-79.22008091817308,ca-https-locations-tacobell-ca-en-on-huntsville-15-
137,Taco Bell,461 Hazeldean Road,Kanata,ON,K2L 1V1,CA,+1 613-591-6732,45.29956220487979,-75.88677923599727,ca-https-locations-tacobell-ca-en-on-kanata-461-haz
138,Taco Bell,1668 Bath Road,Kingston,ON,K7M 4X9,CA,+1 613-389-5393,44.23770967115461,-76.5691009640312,ca-https-locations-tacobell-ca-en-on-kingston-1668-
139,Taco Bell,29 Warne Crescent,Kingston,ON,K7K 5A6,CA,+1 613-531-9693,44.266928237690315,-76.49991101064799,ca-https-locations-tacobell-ca-en-on-kingston-29-wa
140,Taco Bell,945 Gardiners Road,Kingston,ON,K7M 7H4,CA,+1 613-384-1799,44.25619111516249,-76.57187584716726,ca-https-locations-tacobell-ca-en-on-kingston-945-g
141,Taco Bell,329 Main Street East,Kingsville,ON,N9Y 1A7,CA,+1 519-733-2733,42.03794771494313,-82.72473740071582,ca-https-locations-tacobell-ca-en-on-kingsville-329
142,Taco Bell,1020 Ottawa Street North,Kitchener,ON,N2A 3Z3,CA,+1 519-894-1615,43.45227580460541,-80.44351837069411,ca-https-locations-tacobell-ca-en-on-kitchener-1020
143,Taco Bell,2960 Kingsway Drive,Kitchener,ON,N2C 1X1,CA,+1 519-894-0101,43.4252096,-80.4385463,ca-https-locations-tacobell-ca-en-on-kitchener-2960
144,Taco Bell,2480 Homer Watson Boulevard,Kitchener,ON,N2P 2R5,CA,+1 519-894-3434,43.3858801,-80.4104473,ca-https-locations-tacobell-ca-en-on-kitchener-2480
